ID,Numb,Collector_Numb,status,species,infrageneric_rank,infrageneric_name,lat,long,FBColor_code,FBColor,FBColor_original_language,FBDescription_code,FBDescription,FBDescription_original_language,abaxialTexture_code,abaxialTexture,abaxialTexture_original_language,anthers_code,anthers,anthers_original_language,arrangment_code,arrangment,arrangment_original_language,bAboveMidribColor_code,bAboveMidribColor,bAboveMidribColor_original_language,bAboveTexture_code,bAboveTexture,bAboveTexture_original_language,bApex_code,bApex,bApex_original_language,bBase_code,bBase,bBase_original_language,bColorAbove_code,bColorAbove,bColorAbove_original_language,bColorBelow_code,bColorBelow,bColorBelow_original_language,bMidribTexture_code,bMidribTexture,bMidribTexture_original_language,bUnderMidribColor_code,bUnderMidribColor,bUnderMidribColor_original_language,bUnderMidribTexture_code,bUnderMidribTexture,bUnderMidribTexture_original_language,bUndersideTexture_code,bUndersideTexture,bUndersideTexture_original_language,basalBractFertile_code,basalBractFertile,basalBractFertile_original_language,disturbance_code,disturbance,disturbance_original_language,drainage_code,drainage,drainage_original_language,freeSepals_code,freeSepals,freeSepals_original_language,fruitColor_code,fruitColor,fruitColor_original_language,fruitTexture_code,fruitTexture,fruitTexture_original_language,fusedSepals_code,fusedSepals,fusedSepals_original_language,inflType_code,inflType,inflType_original_language,innerTexture_code,innerTexture,innerTexture_original_language,midBractApex_code,midBractApex,midBractApex_original_language,midBractInnerColor_code,midBractInnerColor,midBractInnerColor_original_language,midBractMargin_code,midBractMargin,midBractMargin_original_language,midBractOuterColor_code,midBractOuterColor,midBractOuterColor_original_language,outerTexture_code,outerTexture,outerTexture_original_language,ovaryColor_code,ovaryColor,ovaryColor_original_language,ovaryTexture_code,ovaryTexture,ovaryTexture_original_language,pedColor_code,pedColor,pedColor_original_language,pedTexture_code,pedTexture,pedTexture_original_language,pediColor_code,pediColor,pediColor_original_language,pediTexture_code,pediTexture,pediTexture_original_language,perColor_code,perColor,perColor_original_language,perTexture_code,perTexture,perTexture_original_language,petColor_code,petColor,petColor_original_language,petTexture_code,petTexture,petTexture_original_language,rColor_code,rColor,rColor_original_language,rTexture_code,rTexture,rTexture_original_language,rType_code,rType,rType_original_language,soil_code,soil,soil_original_language,stamApex_code,stamApex,stamApex_original_language,stamColor_code,stamColor,stamColor_original_language,trunkColor_code,trunkColor,trunkColor_original_language,trunkTexture_code,trunkTexture,trunkTexture_original_language,vegHabitLike_code,vegHabitLike,vegHabitLike_original_language,APerianthLengthCm,angleBetweenBracts,bWidthCm,bladeLengthCm,bractAngle,canopy,elevM,floralBractLengthCm,floralBractWidthCm,minFruitDim,maxFruitDim,iAngle,inflLengthCm,internodeDistanceCm,leavesShoot,midBractLengthCm,midBractWidthCm,nectarChamberWidthCm,numberBStamInsertionCm,numberCincinnalBracts,numberFertile,numberFlowersInBract,numberFlowersOpen,ovaryLengthMm,ovaryWidthMm,pedDiaCm,pedicelLengthMm,peduncleLengthCm,perWidthCm,periCurvature,petDiaCm,petioleLengthCm,rachisDiaCm,shootsClump,slope,stamWidthMm,staminodeLengthMm,totalHtm,trunkDiaCm,trunkHtCm,stamABCm,nectarChamberLengthCm
3255,00-6605,WJKress_00-6605,,rodriguezii,,,NA,NA,2,orange,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,yellow,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA
3253,00-6607,WJKress_00-6607,,aurantiaca,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,yellow,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,yellow,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA
3252,00-6613,WJKress_00-6613,,acuminata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA
4821,00-6682A,WJKress_00-6682A,,bihai,,,NA,NA,1,green_to_yellow_or_white,pale_green,5,opaque_persistent,opaque__persistent,0,glabrous,glabrous,2,flared,flared,0,distichous,distichous,1,light_green,pale_green,0,glabrous,glabrous,5,obtuse,obtuse,0,attenuate,slightly_attenuate,5,dark_green,deep_green,0,green,green,0,glabrous,glabrous,6,yellow_green,pale_green_with_yellow_stripes,3,glaucous,slightly_glaucous,0,glabrous,glabrous,1,sterile,No,NA,NA,NA,2,dry,dry,0,reflexed,reflexed,NA,NA,NA,NA,NA,NA,2,flared,flared,0,erect,erect,0,glabrous,glabrous,0,acuminate,acuminate,0,green,pale_green,1,involute_revolute,involute_at_base_revolute_distally,7,red_green,dull_red_at_base__reddish_green_on_cheek__pure_green_at_ape,2,glabrous,glabrous,6,white_and_white_with_green,cream,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,4,white_cream_with_green,cream,1,glabrous,glabrous,9,white_green,white_with_pale_green_apex,NA,NA,NA,NA,NA,NA,0,glabrous,glabrous,12,yellow_orange_red,dull_reddish_yellow,NA,NA,NA,1,straight,straight,NA,NA,NA,NA,NA,NA,1,white,white,3,only_green,pure_and_green,NA,NA,NA,NA,NA,NA,5.5,180,50,295,40,75,360,5,2.2,NA,NA,0.5,33,1,4.5,15,8.4,NA,1.6,7,2,9,1,7,5,1.8,5,NA,1,25,2.3,99,1.4,10,90,2,7,4,6.2,2.2,3.9,NA
4822,00-6682B,WJKress_00-6682B,,bihai,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,distichous,distichous,0,green,green,0,glabrous,glabrous,2,acute,acute,NA,NA,NA,5,dark_green,deep_green,0,green,green,0,glabrous,glabrous,6,yellow_green,pale_green_with_some_yellow,3,glaucous,slightly_glaucous,0,glabrous,glabrous,1,sterile,No,NA,NA,NA,2,dry,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,erect,erect,0,glabrous,glabrous,0,acuminate,acuminate,0,green,green,4,straight_involute,straight__involute_at_base,NA,NA,NA,2,glabrous,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,glabrous,glabrous,2,green_red,yellow_green_with_red,NA,NA,NA,1,straight,straight,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,only_green,pure_green,NA,NA,NA,NA,NA,NA,NA,180,41,145,45,75,360,NA,NA,NA,NA,0.5,34,1,5,14.5,8.8,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,74,1.4,13,90,NA,NA,2.5,5.5,1.45,NA,NA
4823,00-6682C,WJKress_00-6682C,,bihai,,,NA,NA,1,green_to_yellow_or_white,pale_yellow_green,8,trans_pers_or_not_indicated,translucent__persistent,0,glabrous,glabrous,0,connivent,connivent,0,distichous,distichous,0,green,green,0,glabrous,glabrous,2,acute,acute,0,attenuate,slightly_attenuate,5,dark_green,dark_green,0,green,green,0,glabrous,glabrous,6,yellow_green,green_with_yellow_stripes,3,glaucous,slightly_glaucous,0,glabrous,glabrous,1,sterile,No,3,slight_moderate,light-mod,2,dry,dry,1,reflexed_rolled,reflexed_rolled,NA,NA,NA,NA,NA,NA,2,flared,flared,0,erect,erect,0,glabrous,glabrous,0,acuminate,acuminate,0,green,pale_green,4,straight_involute,straight_distally_involute,7,red_green,rusty_red_green_with_red_spot_at_rachis,2,glabrous,glabrous,6,white_and_white_with_green,cream,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,4,white_cream_with_green,white,1,glabrous,glabrous,9,white_green,white_with_green_apex,0,glabrous,glabrous,NA,NA,NA,0,glabrous,glabrous,7,red,red_to_dull_pink,NA,NA,NA,1,straight,straight,NA,NA,NA,NA,NA,NA,1,white,white,3,only_green,green,7,glaucous,slightly_glaucous,NA,NA,NA,6.1,180,47,194,50,50,350,5,2.9,NA,NA,0,37,1,4,14.2,9.6,NA,1.7,7,3,12,1,6,5,2.2,8,NA,1,20,2.3,82,1.2,7,52.5,2,5,4,6.4,2,4.4,NA
4824,00-6682D,WJKress_00-6682D,,bihai,,,NA,NA,1,green_to_yellow_or_white,pale_yellow_green,8,trans_pers_or_not_indicated,translucent__persistent,0,glabrous,glabrous,2,flared,flared,0,distichous,distichous,0,green,green,0,glabrous,glabrous,2,acute,acute,1,attenuate_truncate,attenuate_to_truncate,0,green,green,0,green,green,0,glabrous,glabrous,6,yellow_green,yellow_green_with_yellow_stripes,3,glaucous,glaucous,0,glabrous,glabrous,0,fertile,Yes,NA,NA,NA,2,dry,dry,1,reflexed_rolled,reflexed__rolled,NA,NA,NA,NA,NA,NA,0,not_flared,no,0,erect,erect,0,glabrous,glabrous,0,acuminate,acuminate,0,green,pale_green,4,straight_involute,straight_distally_involute_at_base,7,red_green,pure_green__slightly_reddish_base_near_rachis,2,glabrous,glabrous,6,white_and_white_with_green,cream,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,4,white_cream_with_green,white,1,glabrous,glabrous,9,white_green,white_with_pale_green_apex,0,glabrous,glabrous,NA,NA,NA,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,1,straight,straight,NA,NA,NA,NA,NA,NA,1,white,white,3,only_green,green,NA,NA,NA,NA,NA,NA,5.5,180,43,180,45,75,360,4.6,2.3,NA,NA,0,29,1,4,12.6,9,NA,1.5,7.5,10,11,1,6,5,2,5,NA,1,25,2.1,115,1.3,26,90,2,5,4,5.6,2.2,4,NA
4825,00-6682E,WJKress_00-6682E,,bihai,,,NA,NA,1,green_to_yellow_or_white,yellow_green,8,trans_pers_or_not_indicated,translucent__persistent,0,glabrous,glabrous,2,flared,flared,0,distichous,distichous,0,green,green,0,glabrous,glabrous,2,acute,acute,4,truncate,truncate,0,green,green,0,green,green,0,glabrous,glabrous,6,yellow_green,pale_green_with_yellow_stripes,3,glaucous,glaucous_slightly,0,glabrous,glabrous,1,sterile,No,NA,NA,NA,2,dry,dry,1,reflexed_rolled,rolled__reflexed,NA,NA,NA,NA,NA,NA,2,flared,flared,0,erect,erect,0,glabrous,glabrous,0,acuminate,acuminate,NA,NA,NA,4,straight_involute,straight_distally__involute_at_base,7,red_green,dull_rusty_red_to_green_along_margins_brighter_red_at_base,5,glaucous,slightly_glaucous,6,white_and_white_with_green,cream,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,4,white_cream_with_green,white,1,glabrous,glabrous,9,white_green,white_with_green_in_apical_one_third,0,glabrous,glabrous,NA,NA,NA,0,glabrous,glabrous,2,green_red,red_green,NA,NA,NA,1,straight,straight,NA,NA,NA,NA,NA,NA,1,white,white,3,only_green,green,NA,NA,NA,NA,NA,NA,5.6,180,41,190,45,75,360,5.2,2.1,NA,NA,0,38.5,1,5,12.8,8.2,NA,1.7,10,5,10.5,1,7,4,1.9,1,NA,0.8,20,2.3,112,1.2,25,75,3,9,4.5,6.8,2.3,3.9,NA
4826,00-6682F,WJKress_00-6682F,,bihai,,,NA,NA,1,green_to_yellow_or_white,pale_yellow_green,8,trans_pers_or_not_indicated,translucent_persistent,0,glabrous,glabrous,2,flared,flared_after_visitation,0,distichous,distichous,0,green,green,0,glabrous,glabrous,2,acute,acute,0,attenuate,attenuate,0,green,green,0,green,green,0,glabrous,glabrous,6,yellow_green,yellow_green_with_yellow_stripes,3,glaucous,glaucous_slightly,0,glabrous,glabrous,1,sterile,No,5,moderate_great,mod-great,2,dry,dry,1,reflexed_rolled,reflexed__rolled,NA,NA,NA,NA,NA,NA,2,flared,flared,0,erect,erect,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,4,straight_involute,straight_at_apex_to_involute_at_base,8,red_orange_green,dull_green_suffused_with_rusty_red_orange_green_along_bed_and_margin_distally_orange_near_rachis,2,glabrous,glabrous,6,white_and_white_with_green,cream,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,4,white_cream_with_green,white,1,glabrous,glabrous,9,white_green,sepals_white__corolla_white_with_green_towards_apex,0,glabrous,glabrous,NA,NA,NA,2,glaucous,slightly_glaucous,NA,NA,NA,NA,NA,NA,1,straight,straight,5,sand,sand,17,cuspidate,cuspidate,1,white,white,3,only_green,green,NA,NA,NA,NA,NA,NA,6.5,180,34,146,50,37.5,270,5.5,2.5,NA,NA,0,37,1.8,4,15,10,NA,2.2,6,8,10.5,4,8,6,1.6,8,2,1,NA,1.6,82,1.5,26,52.5,3,8,3.5,5,1.25,4.3,NA
4796,00-6686A,WJKress_00-6686A,,caribaea,,,NA,NA,7,yellow,pale_yellow,8,trans_pers_or_not_indicated,translucent__persisitent,0,glabrous,glabrous,2,flared,flared,0,distichous,distichous,0,green,green,0,glabrous,glabrous,2,acute,acute,1,attenuate_truncate,attenuate_to_truncate,5,dark_green,dark_green,0,green,green,0,glabrous,glabrous,6,yellow_green,yellow_green_with_yellos_stripes_at_base,3,glaucous,glaucous,1,glaucous,glaucous,1,sterile,No,5,moderate_great,mod-great,2,dry,dry,0,reflexed,reflexed_not_rolled,NA,NA,NA,NA,NA,NA,2,flared,flared,0,erect,erect,0,glabrous,glabrous,0,acuminate,acuminate,5,orange_red,red_distally__yellow_orange_at_base,4,straight_involute,straight_involute_at_base,9,red_orange_yellow,deep_red_distally__red_orange_at_rachis_margins_yellow_and_orange,5,glaucous,glabrous_basal_bract_green__waxy,6,white_and_white_with_green,cream,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,4,white_cream_with_green,white,1,glabrous,glabrous,9,white_green,white_with_green_apex,0,glabrous,glabrous,NA,NA,NA,2,glaucous,glaucous,8,red_orange,reddish_orange,NA,NA,NA,1,straight,straight,NA,NA,NA,17,cuspidate,cuspidate,1,white,white,3,only_green,deep_green,7,glaucous,glaucous_slightly,NA,NA,NA,6.4,180,49,198,40,37.5,225,5.9,2.5,NA,NA,0,37,2.2,4,14,12,NA,2,8,2,10,1,8,6,2.1,8,2,0.8,20,1.8,92,1.2,4,22.5,2,8,3.5,5.5,2,4.4,NA
4797,00-6686B,WJKress_00-6686B,,caribaea,,,NA,NA,7,yellow,pale_yellow,8,trans_pers_or_not_indicated,translucent__persistent,0,glabrous,glabrous,2,flared,flared,0,distichous,distichous,0,green,green,0,glabrous,glabrous,2,acute,acute,4,truncate,truncate,5,dark_green,dark_green,0,green,green,0,glabrous,glabrous,6,yellow_green,yellow_green_with_pale_yellow_stripes,3,glaucous,glaucous,1,glaucous,glaucous,1,sterile,No,5,moderate_great,mod-great,2,dry,dry,0,reflexed,reflexed,NA,NA,NA,NA,NA,NA,2,flared,flared,0,erect,erect,0,glabrous,glabrous,0,acuminate,acuminate,16,yellow_red,red_distally_yellow_at_rachis,4,straight_involute,straight__involute_at_base,9,red_orange_yellow,dark_red_distally__scarlet_red_to_orange_at_rachismargin_yellow_and_red,2,glabrous,glabrous,6,white_and_white_with_green,cream,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,4,white_cream_with_green,cream,1,glabrous,glabrous,9,white_green,white_with_pale_green_apex,0,glabrous,glabrous,NA,NA,NA,2,glaucous,glaucous,8,red_orange,red_orange,NA,NA,NA,1,straight,straight,NA,NA,NA,NA,NA,NA,1,white,white,3,only_green,green,NA,NA,NA,NA,NA,NA,6.2,180,52,225,40,37.5,225,5.6,2.5,NA,NA,0,50,2,4,14.5,12.4,NA,2.2,12,2,8,1,6,5,2.5,7,4,0.8,20,2.3,124,1.6,3,22.5,2,7,4.5,6.2,2.2,4,NA
4798,00-6686C,WJKress_00-6686C,,caribaea,,,NA,NA,1,green_to_yellow_or_white,yellow_green__pale,8,trans_pers_or_not_indicated,translucent__persistent,NA,NA,NA,2,flared,flared,0,distichous,distichous,0,green,green,0,glabrous,glabrous,2,acute,acute,4,truncate,truncate,5,dark_green,dark_green,0,green,greem,0,glabrous,glabrous,6,yellow_green,yellow_green_with_yellow_stripes,3,glaucous,glaucous,1,glaucous,glaucous,1,sterile,No,5,moderate_great,mod-great,2,dry,dry,0,reflexed,reflexed,NA,NA,NA,NA,NA,NA,2,flared,flared,0,erect,erect,0,glabrous,glabrous,0,acuminate,acuminate,16,yellow_red,red_distally_yellow_basally,4,straight_involute,straight__involute_at_base,7,red_green,dark_dull_red_throughout_margin_green_at_base,NA,NA,NA,8,yellow_green,yellow_green,0,glabrous,glabrous,NA,NA,NA,NA,NA,NA,4,white_cream_with_green,white,1,glabrous,glabrous,9,white_green,white_with_green_apex,0,glabrous,glabrous,NA,NA,NA,2,glaucous,glaucous,7,red,bright_red,NA,NA,NA,1,straight,straight,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,only_green,deep_green,7,glaucous,glaucous,NA,NA,NA,6.3,180,56,245,45,37.5,225,5.2,2.5,NA,NA,0,59,2,4,14,12,NA,NA,15,6,12,2,5,5,2.5,5,NA,0.8,25,2.5,157,1.2,8,22.5,NA,NA,5.6,6,2.75,NA,NA
3277,00-6709,WJKress_00-6709,,densiflora,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
3267,00-6741,WJKress_00-6741,,psittacorum,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,orange_yellow,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA
3269,00-6769,WJKress_00-6769,,rostrata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA
3272,00-6771,WJKress_00-6771,,stricta,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
3264,00-6779,WJKress_00-6779,,mathiasiae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,yellow,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3263,01-6828,WJKress_01-6828,,gracilis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
3256,01-6829,WJKress_01-6829,,acuminata,,,NA,NA,7,yellow,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,green,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,yellow,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA
